event_id,order_id,event,status
1,1,ส่งเข้า KDS,รอดำเนินการ
2,1,บาริสต้ารับออเดอร์,กำลังทำ
3,1,เรียกคิว,พร้อมรับ
4,1,ส่งมอบสำเร็จ,เสร็จสิ้น
5,2,ส่งเข้า KDS,รอดำเนินการ
6,2,บาริสต้ารับออเดอร์,กำลังทำ
7,2,เรียกคิว,พร้อมรับ
8,2,ส่งมอบสำเร็จ,เสร็จสิ้น
9,3,ส่งเข้า KDS,รอดำเนินการ
10,3,บาริสต้ารับออเดอร์,กำลังทำ
11,3,เรียกคิว,พร้อมรับ
12,3,ส่งมอบสำเร็จ,เสร็จสิ้น
13,4,ส่งเข้า KDS,รอดำเนินการ
14,4,บาริสต้ารับออเดอร์,กำลังทำ
15,4,เรียกคิว,พร้อมรับ
16,4,ส่งมอบสำเร็จ,เสร็จสิ้น
17,5,ส่งเข้า KDS,รอดำเนินการ
18,5,บาริสต้ารับออเดอร์,กำลังทำ
19,5,เรียกคิว,พร้อมรับ
20,5,ส่งมอบสำเร็จ,เสร็จสิ้น
21,6,ส่งเข้า KDS,รอดำเนินการ
22,6,บาริสต้ารับออเดอร์,กำลังทำ
23,6,เรียกคิว,พร้อมรับ
24,6,ส่งมอบสำเร็จ,เสร็จสิ้น
25,7,ส่งเข้า KDS,รอดำเนินการ
26,7,บาริสต้ารับออเดอร์,กำลังทำ
27,7,เรียกคิว,พร้อมรับ
28,7,ส่งมอบสำเร็จ,เสร็จสิ้น
29,8,ส่งเข้า KDS,รอดำเนินการ
30,8,บาริสต้ารับออเดอร์,กำลังทำ
31,8,เรียกคิว,พร้อมรับ
32,8,ส่งมอบสำเร็จ,เสร็จสิ้น
33,9,ส่งเข้า KDS,รอดำเนินการ
34,9,บาริสต้ารับออเดอร์,กำลังทำ
35,9,เรียกคิว,พร้อมรับ
36,9,ส่งมอบสำเร็จ,เสร็จสิ้น
37,10,ส่งเข้า KDS,รอดำเนินการ
38,10,บาริสต้ารับออเดอร์,กำลังทำ
39,10,เรียกคิว,พร้อมรับ
40,10,ส่งมอบสำเร็จ,เสร็จสิ้น
41,11,ส่งเข้า KDS,รอดำเนินการ
42,11,บาริสต้ารับออเดอร์,กำลังทำ
43,11,เรียกคิว,พร้อมรับ
44,11,ส่งมอบสำเร็จ,เสร็จสิ้น
45,12,ส่งเข้า KDS,รอดำเนินการ
46,12,บาริสต้ารับออเดอร์,กำลังทำ
47,12,เรียกคิว,พร้อมรับ
48,12,ส่งมอบสำเร็จ,เสร็จสิ้น
49,13,ส่งเข้า KDS,รอดำเนินการ
50,13,บาริสต้ารับออเดอร์,กำลังทำ
51,13,เรียกคิว,พร้อมรับ
52,13,ส่งมอบสำเร็จ,เสร็จสิ้น
53,14,ส่งเข้า KDS,รอดำเนินการ
54,14,บาริสต้ารับออเดอร์,กำลังทำ
55,14,เรียกคิว,พร้อมรับ
56,14,ส่งมอบสำเร็จ,เสร็จสิ้น
57,15,ส่งเข้า KDS,รอดำเนินการ
58,15,บาริสต้ารับออเดอร์,กำลังทำ
59,15,เรียกคิว,พร้อมรับ
60,15,ส่งมอบสำเร็จ,เสร็จสิ้น
61,16,ส่งเข้า KDS,รอดำเนินการ
62,16,บาริสต้ารับออเดอร์,กำลังทำ
63,16,เรียกคิว,พร้อมรับ
64,16,ส่งมอบสำเร็จ,เสร็จสิ้น
65,17,ส่งเข้า KDS,รอดำเนินการ
66,17,บาริสต้ารับออเดอร์,กำลังทำ
67,17,เรียกคิว,พร้อมรับ
68,17,ส่งมอบสำเร็จ,เสร็จสิ้น
69,18,ส่งเข้า KDS,รอดำเนินการ
70,18,บาริสต้ารับออเดอร์,กำลังทำ
71,18,เรียกคิว,พร้อมรับ
72,18,ส่งมอบสำเร็จ,เสร็จสิ้น
73,19,ส่งเข้า KDS,รอดำเนินการ
74,19,บาริสต้ารับออเดอร์,กำลังทำ
75,19,เรียกคิว,พร้อมรับ
76,19,ส่งมอบสำเร็จ,เสร็จสิ้น
77,20,ส่งเข้า KDS,รอดำเนินการ
78,20,บาริสต้ารับออเดอร์,กำลังทำ
79,20,เรียกคิว,พร้อมรับ
80,20,ส่งมอบสำเร็จ,เสร็จสิ้น
81,21,ส่งเข้า KDS,รอดำเนินการ
82,21,บาริสต้ารับออเดอร์,กำลังทำ
83,21,เรียกคิว,พร้อมรับ
84,21,ส่งมอบสำเร็จ,เสร็จสิ้น
85,22,ส่งเข้า KDS,รอดำเนินการ
86,22,บาริสต้ารับออเดอร์,กำลังทำ
87,22,เรียกคิว,พร้อมรับ
88,22,ส่งมอบสำเร็จ,เสร็จสิ้น
89,23,ส่งเข้า KDS,รอดำเนินการ
90,23,บาริสต้ารับออเดอร์,กำลังทำ
91,23,เรียกคิว,พร้อมรับ
92,23,ส่งมอบสำเร็จ,เสร็จสิ้น
93,24,ส่งเข้า KDS,รอดำเนินการ
94,24,บาริสต้ารับออเดอร์,กำลังทำ
95,24,เรียกคิว,พร้อมรับ
96,24,ส่งมอบสำเร็จ,เสร็จสิ้น
97,25,ส่งเข้า KDS,รอดำเนินการ
98,25,บาริสต้ารับออเดอร์,กำลังทำ
99,25,เรียกคิว,พร้อมรับ
100,25,ส่งมอบสำเร็จ,เสร็จสิ้น
101,26,ส่งเข้า KDS,รอดำเนินการ
102,26,บาริสต้ารับออเดอร์,กำลังทำ
103,26,เรียกคิว,พร้อมรับ
104,26,ส่งมอบสำเร็จ,เสร็จสิ้น
105,27,ส่งเข้า KDS,รอดำเนินการ
106,27,บาริสต้ารับออเดอร์,กำลังทำ
107,27,เรียกคิว,พร้อมรับ
108,27,ส่งมอบสำเร็จ,เสร็จสิ้น
109,28,ส่งเข้า KDS,รอดำเนินการ
110,28,บาริสต้ารับออเดอร์,กำลังทำ
111,28,เรียกคิว,พร้อมรับ
112,28,ส่งมอบสำเร็จ,เสร็จสิ้น
113,29,ส่งเข้า KDS,รอดำเนินการ
114,29,บาริสต้ารับออเดอร์,กำลังทำ
115,29,เรียกคิว,พร้อมรับ
116,29,ส่งมอบสำเร็จ,เสร็จสิ้น
117,30,ส่งเข้า KDS,รอดำเนินการ
118,30,บาริสต้ารับออเดอร์,กำลังทำ
119,30,เรียกคิว,พร้อมรับ
120,30,ส่งมอบสำเร็จ,เสร็จสิ้น
121,31,ส่งเข้า KDS,รอดำเนินการ
122,31,บาริสต้ารับออเดอร์,กำลังทำ
123,31,เรียกคิว,พร้อมรับ
124,31,ส่งมอบสำเร็จ,เสร็จสิ้น
125,32,ส่งเข้า KDS,รอดำเนินการ
126,32,บาริสต้ารับออเดอร์,กำลังทำ
127,32,เรียกคิว,พร้อมรับ
128,32,ส่งมอบสำเร็จ,เสร็จสิ้น
129,33,ส่งเข้า KDS,รอดำเนินการ
130,33,บาริสต้ารับออเดอร์,กำลังทำ
131,33,เรียกคิว,พร้อมรับ
132,33,ส่งมอบสำเร็จ,เสร็จสิ้น
133,34,ส่งเข้า KDS,รอดำเนินการ
134,34,บาริสต้ารับออเดอร์,กำลังทำ
135,34,เรียกคิว,พร้อมรับ
136,34,ส่งมอบสำเร็จ,เสร็จสิ้น
137,35,ส่งเข้า KDS,รอดำเนินการ
138,35,บาริสต้ารับออเดอร์,กำลังทำ
139,35,เรียกคิว,พร้อมรับ
140,35,ส่งมอบสำเร็จ,เสร็จสิ้น
141,36,ส่งเข้า KDS,รอดำเนินการ
142,36,บาริสต้ารับออเดอร์,กำลังทำ
143,36,เรียกคิว,พร้อมรับ
144,36,ส่งมอบสำเร็จ,เสร็จสิ้น
145,37,ส่งเข้า KDS,รอดำเนินการ
146,37,บาริสต้ารับออเดอร์,กำลังทำ
147,37,เรียกคิว,พร้อมรับ
148,37,ส่งมอบสำเร็จ,เสร็จสิ้น
149,38,ส่งเข้า KDS,รอดำเนินการ
150,38,บาริสต้ารับออเดอร์,กำลังทำ
151,38,เรียกคิว,พร้อมรับ
152,38,ส่งมอบสำเร็จ,เสร็จสิ้น
153,39,ส่งเข้า KDS,รอดำเนินการ
154,39,บาริสต้ารับออเดอร์,กำลังทำ
155,39,เรียกคิว,พร้อมรับ
156,39,ส่งมอบสำเร็จ,เสร็จสิ้น
157,40,ส่งเข้า KDS,รอดำเนินการ
158,40,บาริสต้ารับออเดอร์,กำลังทำ
159,40,เรียกคิว,พร้อมรับ
160,40,ส่งมอบสำเร็จ,เสร็จสิ้น
161,41,ส่งเข้า KDS,รอดำเนินการ
162,41,บาริสต้ารับออเดอร์,กำลังทำ
163,41,เรียกคิว,พร้อมรับ
164,41,ส่งมอบสำเร็จ,เสร็จสิ้น
165,42,ส่งเข้า KDS,รอดำเนินการ
166,42,บาริสต้ารับออเดอร์,กำลังทำ
167,42,เรียกคิว,พร้อมรับ
168,42,ส่งมอบสำเร็จ,เสร็จสิ้น
169,43,ส่งเข้า KDS,รอดำเนินการ
170,43,บาริสต้ารับออเดอร์,กำลังทำ
171,43,เรียกคิว,พร้อมรับ
172,43,ส่งมอบสำเร็จ,เสร็จสิ้น
173,44,ส่งเข้า KDS,รอดำเนินการ
174,44,บาริสต้ารับออเดอร์,กำลังทำ
